번호,광역구분,시,구,지역유형,지역명 키워드,urlRegionKey,작업명 키워드,동적변환 키워드,서비스 계열,신규/기존 구분,수집 우선순위,서치어드바이저 제출용 URL
"1","경기","안성시","","시","안성시","안성시","베란다탄성코트","안성시-베란다탄성코트","탄성코트","신규","P1","https://www.barumspace.co.kr/?k=%EC%95%88%EC%84%B1%EC%8B%9C-%EB%B2%A0%EB%9E%80%EB%8B%A4%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8"
"2","경기","안성시","","시","안성시","안성시","세탁실탄성코트","안성시-세탁실탄성코트","탄성코트","신규","P1","https://www.barumspace.co.kr/?k=%EC%95%88%EC%84%B1%EC%8B%9C-%EC%84%B8%ED%83%81%EC%8B%A4%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8"
"3","경기","안성시","","시","안성시","안성시","아파트탄성코트","안성시-아파트탄성코트","탄성코트","신규","P1","https://www.barumspace.co.kr/?k=%EC%95%88%EC%84%B1%EC%8B%9C-%EC%95%84%ED%8C%8C%ED%8A%B8%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8"
"4","경기","안성시","","시","안성시","안성시","탄성코트","안성시-탄성코트","탄성코트","신규","P1","https://www.barumspace.co.kr/?k=%EC%95%88%EC%84%B1%EC%8B%9C-%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8"
"5","경기","안성시","","시","안성시","안성시","탄성코트시공","안성시-탄성코트시공","탄성코트","신규","P1","https://www.barumspace.co.kr/?k=%EC%95%88%EC%84%B1%EC%8B%9C-%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8%EC%8B%9C%EA%B3%B5"
"6","경기","안성시","","시","안성시","안성시","탄성코트업체","안성시-탄성코트업체","탄성코트","신규","P1","https://www.barumspace.co.kr/?k=%EC%95%88%EC%84%B1%EC%8B%9C-%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8%EC%97%85%EC%B2%B4"
"7","경기","오산시","","시","오산시","오산시","베란다탄성코트","오산시-베란다탄성코트","탄성코트","오산 Pilot","P1","https://www.barumspace.co.kr/?k=%EC%98%A4%EC%82%B0%EC%8B%9C-%EB%B2%A0%EB%9E%80%EB%8B%A4%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8"
"8","경기","오산시","","시","오산시","오산시","세탁실탄성코트","오산시-세탁실탄성코트","탄성코트","오산 Pilot","P1","https://www.barumspace.co.kr/?k=%EC%98%A4%EC%82%B0%EC%8B%9C-%EC%84%B8%ED%83%81%EC%8B%A4%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8"
"9","경기","오산시","","시","오산시","오산시","아파트탄성코트","오산시-아파트탄성코트","탄성코트","오산 Pilot","P1","https://www.barumspace.co.kr/?k=%EC%98%A4%EC%82%B0%EC%8B%9C-%EC%95%84%ED%8C%8C%ED%8A%B8%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8"
"10","경기","오산시","","시","오산시","오산시","탄성코트","오산시-탄성코트","탄성코트","오산 Pilot","P1","https://www.barumspace.co.kr/?k=%EC%98%A4%EC%82%B0%EC%8B%9C-%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8"
"11","경기","오산시","","시","오산시","오산시","탄성코트시공","오산시-탄성코트시공","탄성코트","오산 Pilot","P1","https://www.barumspace.co.kr/?k=%EC%98%A4%EC%82%B0%EC%8B%9C-%ED%83%84%EC%84%B1%EC%BD%94%ED%8A%B8%EC%8B%9C%EA%B3%B5"
